
30.6,85.5,02:58:05
30.5,85.5,02:58:13
30.5,85.5,02:58:16
30.5,85.6,02:58:23
30.5,85.6,02:58:26
30.5,85.5,02:58:31
30.5,85.5,02:58:40
30.5,85.6,02:58:48
30.5,85.6,02:58:53
30.5,85.6,02:58:56
30.5,85.7,02:59:03
30.4,85.7,02:59:15
30.4,85.6,02:59:23
30.4,85.6,02:59:25
30.3,85.8,03:16:02
30.3,85.8,03:16:07
30.4,86.0,03:16:13
30.4,85.8,03:16:17
30.3,85.9,03:16:23
30.4,85.9,03:16:30
30.4,85.9,03:16:32
30.4,85.8,03:16:37
30.4,85.6,03:16:45
30.4,85.6,03:16:47
30.4,85.6,03:16:55
30.4,86.2,03:17:00
30.4,85.8,03:17:02
30.4,85.7,03:17:07
30.4,85.8,03:17:12
30.3,85.6,03:17:17
30.4,85.9,03:17:22
30.3,85.9,03:17:30
30.5,85.2,03:58:52
30.9,84.2,03:58:57
31.2,83.2,03:59:02
31.3,81.2,03:59:07
31.6,79.0,03:59:12
32.1,76.7,03:59:17
32.5,73.9,03:59:22
32.9,77.3,03:59:27
33.4,70.1,03:59:32
33.7,66.1,03:59:37
33.9,64.8,03:59:42
34.3,61.6,03:59:47
34.6,58.3,03:59:52
35.0,55.8,03:59:57
